smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
N#C[C@@H](O)[C@H](N)CO	1952792137	FYRPWEWOPQMSFW-QWWZWVQMSA-N	116.120	-1.810	50	10	AAGE	
CC(C)(O)[C@H](N)[C@H](O)C#N	1952793420	LMSZQJAHGFNHGB-RFZPGFLSSA-N	144.174	-1.031	50	10	AAGE	
NNC(=O)[C@H]1OCC[C@H]1C(=O)O	1953471939	WATIAXZLXJGAFF-DMTCNVIQSA-N	174.156	-1.534	50	10	AAGE	
CN(C)NC(=O)[C@@H]1CO[C@@H]2CNC[C@@H]21	1955556421	LWTBLUCNYDYZPJ-BWZBUEFSSA-N	199.254	-1.186	50	10	AAGE	
NCCONc1ncccc1B(O)O	2210060967	OUIHDDNZKYNFCZ-UHFFFAOYSA-N	197.003	-1.936	50	10	AAGE	
NC[C@@H]1C[C@@H]1NC(=O)C#CB(O)O	2241479491	ZBZWBNMEGDTTRD-WDSKDSINSA-N	181.988	-2.535	50	10	AAGE	
CC[C@H](NC(=O)C#CB(O)O)[C@@H](C)O	2241479513	ZNUCMCUFYJDPSY-RQJHMYQMSA-N	199.015	-1.723	50	10	AAGE	
O=C(O)[C@H]1C[C@@H]1C(=O)NCB(O)O	2242200549	CYAUEGNGVOOKRC-IMJSIDKUSA-N	186.960	-2.165	50	10	AAGE	
NNC(=O)c1cnc(N)cc1N	104569149	AWTHIAAYAYXSKF-UHFFFAOYSA-N	167.172	-1.151	50	10	AAGE	
CN1CCOC[C@@H]1C(=O)NN	222912988	HUMXJCCIKLSSRI-RXMQYKEDSA-N	159.189	-1.693	50	10	AAGE	
NNC(=O)COC[C@H]1CCCNC1	260561247	PCJQAOXMXIJYRK-ZETCQYMHSA-N	187.243	-1.008	50	10	AAGE	
O[C@H]1OC[C@@H](O)[C@@H](O)[C@H]1Cl	306244834	QBZSYPGANFVRKW-AIHAYLRMSA-N	168.576	-1.336	50	10	AAGE	
O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1Cl	306244837	QBZSYPGANFVRKW-STGXQOJASA-N	168.576	-1.336	50	10	AAGE	
CC(=O)NNC(=O)[C@H]1C[C@H]1[N+](=O)[O-]	307527182	SANBGVJOTCUXSG-CRCLSJGQSA-N	187.155	-1.181	50	10	AAGE	
O=C[C@@H](O)[C@@H](O)[C@H](O)/C=C/B(O)O	687752368	WRTNKKAVXFZOQQ-NDMCQMBCSA-N	189.960	-3.164	50	10	AAGE	
CN(C)NC(=O)[C@@]12CNC[C@H]1CCO2	705033351	AFJQZSSGXKVBNU-VXNVDRBHSA-N	199.254	-1.042	50	10	AAGE	
C[C@@H](O)C1CN(CCC(=O)NN)C1	719809208	YMXAFGUPYVGBEI-ZCFIWIBFSA-N	187.243	-1.321	50	10	AAGE	
CC(C)C(=O)NCC#CB(O)O	1881436491	KGECPPZYANOZBX-UHFFFAOYSA-N	168.989	-1.226	50	10	AAGE	
C[C@@H]1CNC(=O)CN1CC(=O)NN	1882315030	HUUXRTFFVRAFHC-RXMQYKEDSA-N	186.215	-2.203	50	10	AAGE	
C[C@H](C(=O)NN)N1CC[C@]1(C)CO	1932968126	UHRWLHISLBUQJO-HTRCEHHLSA-N	187.243	-1.179	50	10	AAGE	
Cc1nnc(B(O)O)o1	1951330413	AXVYHISKUNIAAO-UHFFFAOYSA-N	127.896	-1.942	50	10	AAGE	
O=C(C#CB(O)O)NN1CCCCC1	2241468339	MACBRHFSETVQOY-UHFFFAOYSA-N	196.015	-1.481	50	10	AAGE	
NC[C@@H]1C[C@H]1NC(=O)C1(B(O)O)CC1	2241473042	BVIGHSMEUBAWTA-NTSWFWBYSA-N	198.031	-1.543	50	10	AAGE	
Cc1ccc(C(=O)NN)cc1B(O)O	2241473346	IPIQNSIMKUWOSK-UHFFFAOYSA-N	193.999	-1.722	50	10	AAGE	
